"","Arena","Arcilla","Limo","pH","MO","Al","B","Ca","CICE","Cu","Fe","K","Mg","Mn","P","S","Zn"
"1346",0.38,0.28,0.34,5.5,1.9,0,0.6,13.7,19.1,5,107,0.72,4.6,4,40,6,1
"1347",0.38,0.28,0.34,5.5,1.9,0,0.6,13.7,19.1,5,107,0.72,4.6,4,40,6,1
"1348",0.38,0.28,0.34,5.5,1.9,0,0.6,13.7,19.1,5,107,0.72,4.6,4,40,6,1
"1349",0.38,0.28,0.34,5.5,1.9,0,0.6,13.7,19.1,5,107,0.72,4.6,4,40,6,1
"1350",0.14,0.3,0.56,5.3,2.7,0.5,0.9,13.7,21,5,202,1.32,5.4,5,45,4,4
"1351",0.14,0.3,0.56,5.3,2.7,0.5,0.9,13.7,21,5,202,1.32,5.4,5,45,4,4
"1352",0.14,0.3,0.56,5.3,2.7,0.5,0.9,13.7,21,5,202,1.32,5.4,5,45,4,4
"1353",0.14,0.3,0.56,5.3,2.7,0.5,0.9,13.7,21,5,202,1.32,5.4,5,45,4,4
"1354",0.16,0.32,0.52,5.5,2.8,0,1,13.6,20.1,4,141,1.14,5.3,4,48,4,3
"1355",0.16,0.32,0.52,5.5,2.8,0,1,13.6,20.1,4,141,1.14,5.3,4,48,4,3
"1356",0.16,0.32,0.52,5.5,2.8,0,1,13.6,20.1,4,141,1.14,5.3,4,48,4,3
"1357",0.16,0.32,0.52,5.5,2.8,0,1,13.6,20.1,4,141,1.14,5.3,4,48,4,3
"1358",0.16,0.32,0.52,5.5,2.8,0,1,13.6,20.1,4,141,1.14,5.3,4,48,4,3
"1359",0.14,0.3,0.56,5.3,2.7,0.5,0.9,13.7,21,5,202,1.32,5.4,5,45,4,4
"1360",0.2,0.32,0.48,6.2,2.6,0,0.8,17.7,24.6,9,153,0.71,6.1,11,27,11,4
"1361",0.2,0.32,0.48,6.2,2.6,0,0.8,17.7,24.6,9,153,0.71,6.1,11,27,11,4
"1362",0.2,0.32,0.48,6.2,2.6,0,0.8,17.7,24.6,9,153,0.71,6.1,11,27,11,4
"1363",0.2,0.36,0.44,6.6,2.1,0,0.6,16.6,22.8,5,61,0.53,5.6,3,26,8,0.5
"1364",0.2,0.36,0.44,6.6,2.1,0,0.6,16.6,22.8,5,61,0.53,5.6,3,26,8,0.5
"1365",0.2,0.36,0.44,6.6,2.1,0,0.6,16.6,22.8,5,61,0.53,5.6,3,26,8,0.5
"1366",0.2,0.32,0.48,6.2,2.6,0,0.8,17.7,24.6,9,153,0.71,6.1,11,27,11,4
"1367",0.2,0.32,0.48,6.2,2.6,0,0.8,17.7,24.6,9,153,0.71,6.1,11,27,11,4
"1368",0.2,0.32,0.48,6.2,2.6,0,0.8,17.7,24.6,9,153,0.71,6.1,11,27,11,4
"1369",0.2,0.36,0.44,6.6,2.1,0,0.6,16.6,22.8,5,61,0.53,5.6,3,26,8,0.5
"1370",0.2,0.36,0.44,6.6,2.1,0,0.6,16.6,22.8,5,61,0.53,5.6,3,26,8,0.5
"1371",0.16,0.5,0.34,5.5,4.1,0,0.8,16.5,24.9,10,232,1.01,7.3,8,22,14,3
"1372",0.16,0.5,0.34,5.5,4.1,0,0.8,16.5,24.9,10,232,1.01,7.3,8,22,14,3
"1373",0.16,0.5,0.34,5.5,4.1,0,0.8,16.5,24.9,10,232,1.01,7.3,8,22,14,3
"1374",0.16,0.5,0.34,5.5,4.1,0,0.8,16.5,24.9,10,232,1.01,7.3,8,22,14,3
"1375",0.16,0.5,0.34,5.5,4.1,0,0.8,16.5,24.9,10,232,1.01,7.3,8,22,14,3
"1376",0.2,0.32,0.48,6.2,2.6,0,0.8,17.7,24.6,9,153,0.71,6.1,11,27,11,4
"1377",0.24,0.56,0.2,5.2,3.9,0.5,0.9,18.5,26.6,10,257,0.51,7,8,15,18,4
"1378",0.24,0.56,0.2,5.2,3.9,0.5,0.9,18.5,26.6,10,257,0.51,7,8,15,18,4
"1379",0.2,0.56,0.24,5.3,4.1,0.2,0.8,19.7,30.7,10,169,1.09,9.6,9,23,10,2
"1380",0.2,0.56,0.24,5.3,4.1,0.2,0.8,19.7,30.7,10,169,1.09,9.6,9,23,10,2
"1381",0.2,0.56,0.24,5.3,4.1,0.2,0.8,19.7,30.7,10,169,1.09,9.6,9,23,10,2
"1382",0.22,0.36,0.42,5.5,1.7,0,0.5,13.1,19.3,3,100,0.57,5.5,5,23,5,2
"1383",0.22,0.36,0.42,5.5,1.7,0,0.5,13.1,19.3,3,100,0.57,5.5,5,23,5,2
"1384",0.22,0.36,0.42,5.5,1.7,0,0.5,13.1,19.3,3,100,0.57,5.5,5,23,5,2
"1385",0.22,0.36,0.42,5.5,1.7,0,0.5,13.1,19.3,3,100,0.57,5.5,5,23,5,2
"1386",0.22,0.36,0.42,5.5,1.7,0,0.5,13.1,19.3,3,100,0.57,5.5,5,23,5,2
"1387",0.22,0.36,0.42,5.5,1.7,0,0.5,13.1,19.3,3,100,0.57,5.5,5,23,5,2
