"lote_evaluado","lotes_cercanos","distancias","ord_cercania","Arena","Arcilla","Limo","pH","MO","Al","B","Ca","CICE","Cu","Fe","K","Mg","Mn","P","S","Zn"
"17","1474",0.167412200121935,4,0.16,0.6,0.24,6.2,2.2,0,0.6,19.7,30.8,8,57,0.82,10.2,7,16,5,2
"17","216",0.175442439422781,5,0.08,0.56,0.36,5.9,1.7,0,0.2,19,26.6,3,65,0.97,6.6,5,10,7,1
"18","18",0,0,0.1,0.58,0.32,6.2,2.8,0,0.4,22,30,5,50,0.5,7.5,6,30,11,1
"18","1478",0.382791817373701,1,0.16,0.58,0.26,5.3,3.3,0.5,0.9,20.4,29.9,12,250,1.08,7.8,11,19,16,4
"18","1479",0.382791817373701,2,0.16,0.58,0.26,5.3,3.3,0.5,0.9,20.4,29.9,12,250,1.08,7.8,11,19,16,4
"18","1480",0.382791817373701,3,0.16,0.58,0.26,5.3,3.3,0.5,0.9,20.4,29.9,12,250,1.08,7.8,11,19,16,4
"18","1481",0.382791817373701,4,0.16,0.58,0.26,5.3,3.3,0.5,0.9,20.4,29.9,12,250,1.08,7.8,11,19,16,4
"18","1482",0.382791817373701,5,0.16,0.58,0.26,5.3,3.3,0.5,0.9,20.4,29.9,12,250,1.08,7.8,11,19,16,4
"19","19",0,0,0.12,0.56,0.32,6.1,2.6,0,0.4,24,31.5,5,41,0.6,6.9,9,26,10,1
"19","1468",1.572666955171,1,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"19","1469",1.572666955171,2,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"19","1470",1.572666955171,3,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"19","1471",1.572666955171,4,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"19","1472",1.572666955171,5,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"20","20",0,0,0.12,0.66,0.22,5.9,3.2,0,0.4,24,31.5,5,50,0.6,6.9,8,25,8,1
"20","1468",2.38062473884063,1,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"20","1469",2.38062473884063,2,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"20","1470",2.38062473884063,3,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"20","1471",2.38062473884063,4,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"20","1472",2.38062473884063,5,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"21","21",0,0,0.14,0.62,0.24,6,3,0,0.4,26,34.9,5,62,0.8,8.1,7,24,13,1
"21","1478",0.934387803587052,1,0.16,0.58,0.26,5.3,3.3,0.5,0.9,20.4,29.9,12,250,1.08,7.8,11,19,16,4
"21","1479",0.934387803587052,2,0.16,0.58,0.26,5.3,3.3,0.5,0.9,20.4,29.9,12,250,1.08,7.8,11,19,16,4
"21","1480",0.934387803587052,3,0.16,0.58,0.26,5.3,3.3,0.5,0.9,20.4,29.9,12,250,1.08,7.8,11,19,16,4
"21","1481",0.934387803587052,4,0.16,0.58,0.26,5.3,3.3,0.5,0.9,20.4,29.9,12,250,1.08,7.8,11,19,16,4
"21","1482",0.934387803587052,5,0.16,0.58,0.26,5.3,3.3,0.5,0.9,20.4,29.9,12,250,1.08,7.8,11,19,16,4
"22","22",0,0,0.32,0.32,0.36,6.1,2.2,0,0.3,26,33.9,3,43,0.7,7.2,8,15,10,1
"22","1468",1.69574114739683,1,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"22","1469",1.69574114739683,2,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"22","1470",1.69574114739683,3,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"22","1471",1.69574114739683,4,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"22","1472",1.69574114739683,5,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"23","23",0,0,0.26,0.4,0.34,6.7,2.6,0,0.3,25,33.7,4,42,0.7,8,6,25,7,1
"23","1468",1.84363644915179,1,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"23","1469",1.84363644915179,2,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"23","1470",1.84363644915179,3,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"23","1471",1.84363644915179,4,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"23","1472",1.84363644915179,5,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"24","24",0,0,0.32,0.36,0.32,6.1,2.5,0,0.4,19,24.7,4,64,0.4,5.3,7,25,13,1
"24","1468",1.21468242635836,1,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"24","1469",1.21468242635836,2,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"24","1470",1.21468242635836,3,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"24","1471",1.21468242635836,4,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"24","1472",1.21468242635836,5,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"25","25",0,0,0.44,0.3,0.26,6.2,2.8,0,0.4,22,30.3,4,55,0.6,7.7,5,23,12,1
"25","393",0.345125474225221,1,0.12,0.62,0.26,5.3,3.6,0.3,0.4,22,29.2,4.8,99,0.5,6.4,14,12,19,1
"25","394",0.359464160022127,2,0.16,0.6,0.26,5.3,3.5,0.3,0.4,16,22.5,3.7,96,0.4,5.8,15,9,26,1
"25","988",0.359944508032351,3,0.14,0.58,0.28,5.5,3.1,0,0.7,18.7,27.6,8,88,0.65,8.2,7,17,12,2
"25","389",0.379838461039451,4,0.18,0.52,0.3,6.2,2.5,0,0.4,23,28.8,2.7,55,0.5,5.3,9,12,9,1
"25","1101",0.381040773942135,5,0.16,0.58,0.26,5.6,3,0,0.5,17.5,26.1,6,62,0.63,8,5,17,5,1
"26","26",0,0,0.22,0.36,0.42,5.9,2,0,0.4,23,30.5,4,45,0.5,7,5,21,9,2
"26","146",0.902667854895695,1,0.28,0.34,0.38,5.4,2.2,0.5,0.4,16,24,4,109,1.1,6.4,20,27,8,3
"26","1001",0.908716495339193,2,0.16,0.42,0.42,5,4.2,0.8,0.6,16.8,27.3,11,197,0.65,9,12,14,14,2
"26","144",0.910376092531436,3,0.22,0.34,0.44,5.5,2.3,0,0.5,20,27.1,5,86,0.8,6.3,20,27,8,2
"26","1371",0.911901777718092,4,0.16,0.5,0.34,5.5,4.1,0,0.8,16.5,24.9,10,232,1.01,7.3,8,22,14,3
"26","1372",0.911901777718092,5,0.16,0.5,0.34,5.5,4.1,0,0.8,16.5,24.9,10,232,1.01,7.3,8,22,14,3
"27","27",0,0,0.2,0.48,0.32,6.8,2.3,0,0.3,25,32.7,2,67,0.6,7.1,10,32,11,3
"27","709",0.231377098590274,1,0.16,0.64,0.2,5.7,4,0,0.33,17.7,25.9,7,69,0.46,7.7,6,9,7,2
"27","988",0.247305202979221,2,0.14,0.58,0.28,5.5,3.1,0,0.7,18.7,27.6,8,88,0.65,8.2,7,17,12,2
"27","993",0.254691851991731,3,0.12,0.6,0.28,6.3,3.9,0,0.7,22.6,29.9,6,78,0.69,6.6,4,21,15,1
"27","393",0.255460718515785,4,0.12,0.62,0.26,5.3,3.6,0.3,0.4,22,29.2,4.8,99,0.5,6.4,14,12,19,1
"27","708",0.261184629067559,5,0.14,0.62,0.24,5.7,3.9,0,0.29,18,27.8,7,48,1.1,8.7,7,14,8,3
"28","28",0,0,0.16,0.56,0.28,6.3,2.9,0,0.4,27,35.8,5,78,0.7,8.1,12,40,12,2
"28","394",1.07033694020713,1,0.16,0.6,0.26,5.3,3.5,0.3,0.4,16,22.5,3.7,96,0.4,5.8,15,9,26,1
"28","393",1.07554993894201,2,0.12,0.62,0.26,5.3,3.6,0.3,0.4,22,29.2,4.8,99,0.5,6.4,14,12,19,1
"28","1478",1.07580232458626,3,0.16,0.58,0.26,5.3,3.3,0.5,0.9,20.4,29.9,12,250,1.08,7.8,11,19,16,4
"28","1479",1.07580232458626,4,0.16,0.58,0.26,5.3,3.3,0.5,0.9,20.4,29.9,12,250,1.08,7.8,11,19,16,4
"28","1480",1.07580232458626,5,0.16,0.58,0.26,5.3,3.3,0.5,0.9,20.4,29.9,12,250,1.08,7.8,11,19,16,4
"29","29",0,0,0.22,0.42,0.36,6.5,2.8,0,0.3,23,29.4,8,56,0.5,5.9,14,13,8,1
"29","289",1.48967979967509,1,0,0,0,7.4,2.2,0,0.4,38,45,2,69,0.6,6.4,87,29,13,3
"29","1478",1.54044493776001,2,0.16,0.58,0.26,5.3,3.3,0.5,0.9,20.4,29.9,12,250,1.08,7.8,11,19,16,4
"29","1479",1.54044493776001,3,0.16,0.58,0.26,5.3,3.3,0.5,0.9,20.4,29.9,12,250,1.08,7.8,11,19,16,4
"29","1480",1.54044493776001,4,0.16,0.58,0.26,5.3,3.3,0.5,0.9,20.4,29.9,12,250,1.08,7.8,11,19,16,4
"29","1481",1.54044493776001,5,0.16,0.58,0.26,5.3,3.3,0.5,0.9,20.4,29.9,12,250,1.08,7.8,11,19,16,4
"30","30",0,0,0.14,0.46,0.4,5.7,1.9,0,0.3,25,31.7,4,45,0.4,6.3,9,30,14,2
"30","393",0.834375890186335,1,0.12,0.62,0.26,5.3,3.6,0.3,0.4,22,29.2,4.8,99,0.5,6.4,14,12,19,1
"30","394",0.845251946372241,2,0.16,0.6,0.26,5.3,3.5,0.3,0.4,16,22.5,3.7,96,0.4,5.8,15,9,26,1
"30","88",0.848803360290908,3,0.2,0.62,0.18,5.3,3,0.7,0.2,21,27.9,5,86,0.6,5.6,17,17,27,2
"30","143",0.856436461951289,4,0.24,0.38,0.38,5.9,2.8,0,0.5,23,30.8,4,64,1,6.8,19,34,6,2
