"lote_evaluado","lotes_cercanos","distancias","ord_cercania","Arena","Arcilla","Limo","pH","MO","Al","B","Ca","CICE","Cu","Fe","K","Mg","Mn","P","S","Zn"
"38","88",2.30695639389847,3,0.2,0.62,0.18,5.3,3,0.7,0.2,21,27.9,5,86,0.6,5.6,17,17,27,2
"38","1468",2.31145879513087,4,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"38","1469",2.31145879513087,5,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"39","39",0,0,0,0,0,5.1,2.6,1.2,0.5,34,46.4,5,79,0.7,10.5,4,13,18,1
"39","217",0.193999268800149,1,0.16,0.7,0.14,6.3,2,0,0.2,18,25.8,2,64,0.64,7.2,3,11,9,1
"39","1102",0.201105793058933,2,0.14,0.68,0.18,5.8,2.4,0,0.5,19.6,29,6,47,0.85,8.5,6,23,5,1
"39","1100",0.208930667622983,3,0.12,0.68,0.2,5.8,2.5,0,0.7,20.8,30.5,6,56,0.69,9,5,18,5,2
"39","442",0.221670799686391,4,0.08,0.72,0.2,5.7,2.5,0,0.24,19.6,28.5,6,65,0.73,8.2,5,17,9,1
"39","1474",0.231019978527947,5,0.16,0.6,0.24,6.2,2.2,0,0.6,19.7,30.8,8,57,0.82,10.2,7,16,5,2
"40","40",0,0,0,0,0,5.2,2.7,0.9,0.5,27,37.2,7,53,0.7,8.6,5,14,15,1
"40","1468",2.52199750077051,1,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"40","1469",2.52199750077051,2,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"40","1470",2.52199750077051,3,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"40","1471",2.52199750077051,4,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"40","1472",2.52199750077051,5,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"41","41",0,0,0,0,0,5,3.1,1.4,0.5,27,36.9,7,63,0.4,8.1,5,13,14,1
"41","1468",2.60684559731967,1,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"41","1469",2.60684559731967,2,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"41","1470",2.60684559731967,3,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"41","1471",2.60684559731967,4,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"41","1472",2.60684559731967,5,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"42","42",0,0,0,0,0,5.3,2.3,0.5,0.4,22,31.7,7,73,0.5,8.7,4,18,32,1
"42","1468",2.32774725584392,1,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"42","1469",2.32774725584392,2,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"42","1470",2.32774725584392,3,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"42","1471",2.32774725584392,4,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"42","1472",2.32774725584392,5,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"43","43",0,0,0,0,0,6.1,3.1,0,0.6,27,35.6,6,24,0.5,8.1,4,24,13,1
"43","1474",0.1635616619616,1,0.16,0.6,0.24,6.2,2.2,0,0.6,19.7,30.8,8,57,0.82,10.2,7,16,5,2
"43","852",0.175815765002856,2,0.14,0.58,0.28,5.7,2.2,0,0.8,19.1,28.3,6,59,0.58,8.6,8,17,4,2
"43","206",0.201838110026032,3,0.14,0.54,0.32,6,1.6,0,0.2,20,27.5,3,40,0.4,7.1,6,14,3,1
